asset_id,name,timestamp,robustness_phase2_1,confidence_phase2_2,envelope_low,envelope_high,envelope_width,demonstrated_sensitivity_c,confidence_changed_vs_phase2_1,uncertainty_reason
A14,Puerta de Alcalá,15:00,ROBUST,ROBUST,40.5,40.6,0.1,0.1,False,"envelope 40.5-40.6 C stays 5.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.1 C); no realization flips the decision"
A15,Fuente de Cibeles,15:00,BOUNDARY,BOUNDARY,42.4,44.5,2.1,2.0,False,"no realization flips the decision, but envelope 42.4-44.5 C is within the row's demonstrated sensitivity (2.0 C) of a decision threshold (nearest 1.5 C away) - crisp single-value read would be false precision"
A16,Fuente de Neptuno,15:00,BOUNDARY,BOUNDARY,43.7,45.1,1.4,1.3,False,"no realization flips the decision, but envelope 43.7-45.1 C is within the row's demonstrated sensitivity (1.3 C) of a decision threshold (nearest 0.9 C away) - crisp single-value read would be false precision"
A17,Estatua de Goya,15:00,ROBUST,ROBUST,41.7,42.6,0.9,0.9,False,"envelope 41.7-42.6 C stays 3.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.9 C); no realization flips the decision"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,15:00,BOUNDARY,ROBUST,43.6,44.6,1.0,0.9,True,"envelope 43.6-44.6 C stays 1.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.9 C); no realization flips the decision"
A19,Real Observatorio de Madrid,15:00,ROBUST,ROBUST,41.0,41.4,0.4,0.4,False,"envelope 41.0-41.4 C stays 4.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.4 C); no realization flips the decision"
A20,Parque del Retiro,15:00,ROBUST,ROBUST,38.6,38.7,0.1,0.1,False,"envelope 38.6-38.7 C stays 6.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.1 C); no realization flips the decision"
A21,Real Jardín Botánico de Madrid,15:00,ROBUST,ROBUST,38.3,38.5,0.2,0.1,False,"envelope 38.3-38.5 C stays 6.3 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.1 C); no realization flips the decision"
A22,Palacio de Cristal,15:00,ROBUST,ROBUST,43.0,43.9,0.9,0.9,False,"envelope 43.0-43.9 C stays 2.1 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.9 C); no realization flips the decision"
A23,Jardines de Cecilio Rodríguez,15:00,UNSTABLE,ROBUST,43.3,44.4,1.1,1.1,True,"envelope 43.3-44.4 C stays 1.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.1 C); no realization flips the decision"
A24,La Rosaleda,15:00,UNSTABLE,BOUNDARY,44.1,45.1,1.0,0.9,True,"no realization flips the decision, but envelope 44.1-45.1 C is within the row's demonstrated sensitivity (0.9 C) of a decision threshold (nearest 0.9 C away) - crisp single-value read would be false precision"
A25,Jardín del Parterre,15:00,BOUNDARY,BOUNDARY,44.0,45.0,1.0,1.0,False,"no realization flips the decision, but envelope 44.0-45.0 C is within the row's demonstrated sensitivity (1.0 C) of a decision threshold (nearest 1.0 C away) - crisp single-value read would be false precision"
A26,Monumento a Alfonso XII,15:00,ROBUST,ROBUST,41.8,42.1,0.3,0.3,False,"envelope 41.8-42.1 C stays 3.9 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.3 C); no realization flips the decision"
A27,Jardines del Arquitecto Herrero Palacios,15:00,BOUNDARY,ROBUST,42.5,43.6,1.1,1.0,True,"envelope 42.5-43.6 C stays 2.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.0 C); no realization flips the decision"
A14,Puerta de Alcalá,18:00,ROBUST,ROBUST,42.2,43.0,0.8,0.5,False,"envelope 42.2-43.0 C stays 3.0 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.5 C); no realization flips the decision"
A15,Fuente de Cibeles,18:00,BOUNDARY,BOUNDARY,42.8,45.2,2.4,1.4,False,"no realization flips the decision, but envelope 42.8-45.2 C is within the row's demonstrated sensitivity (1.4 C) of a decision threshold (nearest 0.8 C away) - crisp single-value read would be false precision"
A16,Fuente de Neptuno,18:00,BOUNDARY,BOUNDARY,43.9,45.9,2.0,1.3,False,"no realization flips the decision, but envelope 43.9-45.9 C is within the row's demonstrated sensitivity (1.3 C) of a decision threshold (nearest 0.1 C away) - crisp single-value read would be false precision"
A17,Estatua de Goya,18:00,BOUNDARY,ROBUST,42.9,44.6,1.7,1.0,True,"envelope 42.9-44.6 C stays 1.4 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (1.0 C); no realization flips the decision"
A18,Palacio de Cibeles - Ayuntamiento de Madrid,18:00,ROBUST,ROBUST,42.5,43.2,0.7,0.5,False,"envelope 42.5-43.2 C stays 2.8 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.5 C); no realization flips the decision"
A19,Real Observatorio de Madrid,18:00,ROBUST,ROBUST,41.4,41.8,0.4,0.3,False,"envelope 41.4-41.8 C stays 4.2 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.3 C); no realization flips the decision"
A20,Parque del Retiro,18:00,ROBUST,ROBUST,40.1,40.1,0.0,0.0,False,"envelope 40.1-40.1 C stays 5.9 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.0 C); no realization flips the decision"
A21,Real Jardín Botánico de Madrid,18:00,ROBUST,ROBUST,39.9,39.9,0.0,0.0,False,"envelope 39.9-39.9 C stays 6.1 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.0 C); no realization flips the decision"
A22,Palacio de Cristal,18:00,ROBUST,ROBUST,42.4,43.1,0.7,0.5,False,"envelope 42.4-43.1 C stays 2.9 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.5 C); no realization flips the decision"
A23,Jardines de Cecilio Rodríguez,18:00,BOUNDARY,ROBUST,41.6,42.0,0.4,0.3,True,"envelope 41.6-42.0 C stays 4.0 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.3 C); no realization flips the decision"
A24,La Rosaleda,18:00,UNSTABLE,UNSTABLE,44.2,46.0,1.8,1.2,False,"realization(s) ['REAL_SATELLITE'] cross the safety-critical 46 C boundary (envelope 44.2-46.0 C, baseline 45.4); materially different decision (NOT RECOMMENDED vs FEASIBLE WITH CONDITIONS)"
A25,Jardín del Parterre,18:00,BOUNDARY,ROBUST,42.5,43.1,0.6,0.4,True,"envelope 42.5-43.1 C stays 2.9 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.4 C); no realization flips the decision"
A26,Monumento a Alfonso XII,18:00,BOUNDARY,ROBUST,43.2,44.3,1.1,0.7,True,"envelope 43.2-44.3 C stays 1.7 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.7 C); no realization flips the decision"
A27,Jardines del Arquitecto Herrero Palacios,18:00,BOUNDARY,ROBUST,41.6,42.4,0.8,0.6,True,"envelope 41.6-42.4 C stays 3.6 C clear of the nearest decision threshold, farther than the row's demonstrated sensitivity (0.6 C); no realization flips the decision"
